Event,Waveform,chirp_mass,mass_1_source,mass_2_source,luminosity_distance,redshift,ra,dec,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,network_matched_filter_snr
GW230911_195324,C00:IMRPhenomXO4a,29.05246,34.46362,21.40412,1302.25838,0.24779,3.1797,0.00963,0.36004,0.48043,1.67065,1.76614,3.10011,3.11263,1.58079,1.56904,4.61206,12.86522
GW230911_195324,C00:IMRPhenomXPHM-SpinTaylor,28.43829,35.8766,20.36846,1202.50653,0.23097,3.18989,0.00662,0.51384,0.47934,1.5922,1.67412,2.97891,2.93747,1.5864,1.56219,4.43153,12.95481
GW230911_195324,C00:Mixed,28.39205,36.1397,20.36924,1165.74535,0.22463,3.19173,0.00143,0.53329,0.49073,1.61321,1.74024,2.94638,2.98423,1.57785,1.56911,3.73815,12.99264
GW230911_195324,C00:Mixed+XO4a,28.61708,35.57568,20.71818,1212.18921,0.23251,3.18913,0.00528,0.47577,0.48752,1.63169,1.75016,2.99733,3.02512,1.5781,1.56914,4.02639,12.9502
GW230911_195324,C00:SEOBNRv5PHM,28.35812,36.37564,20.38733,1131.43632,0.21872,3.18837,-0.00249,0.55154,0.50156,1.63295,1.80788,2.91177,3.02969,1.56681,1.57618,3.04547,13.02894
GW230709_122727,C00:IMRPhenomXPHM-SpinTaylor,55.13309,46.18092,30.44405,4781.39173,0.7429,2.52142,0.10521,0.49076,0.49428,1.35818,1.43235,3.16232,3.06474,1.78458,1.55958,2.82354,9.31657
GW230709_122727,C00:Mixed,54.60333,46.11847,30.05751,4749.09189,0.73855,2.5267,0.0906,0.47078,0.48914,1.37467,1.43617,3.14917,3.04953,1.77259,1.56047,2.95844,9.31734
GW230709_122727,C00:NRSur7dq4,54.25535,45.8412,29.81552,4756.26313,0.73941,2.53154,0.08496,0.46296,0.48713,1.38742,1.43621,3.14529,3.05103,1.76686,1.55645,3.02213,9.31821
GW230709_122727,C00:SEOBNRv5PHM,54.46128,46.33039,29.95991,4708.17978,0.73313,2.53986,0.07612,0.4603,0.48775,1.38102,1.43718,3.1355,3.04448,1.75798,1.56327,3.03583,9.31817
GW230824_033047,C00:IMRPhenomXPHM-SpinTaylor,64.67212,53.82104,35.74104,4716.81333,0.73731,3.23421,-0.03551,0.45773,0.46477,1.5888,1.59016,3.11582,3.16926,1.66398,1.5627,2.65348,12.16021
GW230824_033047,C00:Mixed,64.31483,54.03264,35.43,4685.85863,0.73333,3.20643,-0.04981,0.43476,0.45168,1.59579,1.60067,3.12175,3.20596,1.662,1.57042,3.36372,12.17086
GW230824_033047,C00:NRSur7dq4,63.77061,54.59894,34.91746,4630.80283,0.72612,3.19491,-0.05455,0.42537,0.43533,1.59256,1.60614,3.12266,3.18826,1.6517,1.57062,3.71046,12.1831
GW230824_033047,C00:SEOBNRv5PHM,64.48418,53.6837,35.6156,4706.6244,0.73621,3.19483,-0.05861,0.42048,0.45568,1.60916,1.60664,3.12672,3.25554,1.67578,1.57629,3.73211,12.17004
GW230518_125908,C00:IMRPhenomNSBH:LowSpin,2.94376,8.07209,1.46327,255.63043,0.05543,2.10892,-0.5944,0.07547,0.01251,1.73274,1.56689,0.0,0.0,1.85189,1.57526,3.08988,13.94474
GW230518_125908,C00:IMRPhenomPv2-NRTidalv2:LowSpin,2.94221,7.60105,1.56012,259.36817,0.05623,1.95132,-0.45585,0.21942,0.02512,1.82431,1.56081,3.0987,3.2011,2.09156,1.57761,3.15593,13.89577
GW230518_125908,C00:IMRPhenomXPHM-SpinTaylor,2.94296,8.15539,1.45301,238.54899,0.05187,2.18798,-0.70076,0.07926,0.46701,1.65435,1.66251,3.09679,3.11419,1.70702,1.55142,3.94828,14.29351
